PUERTO,OPERACIÓN,AÑO,TIPO_CARGA,TONELADAS,REGIÓN,LATITUD,LONGITUD
Guayacán,Cabotaje desembarcado,2016,Carga general,,Coquimbo,"-29,97","-71,35"
Guayacán,Cabotaje desembarcado,2016,Granel sólido,,Coquimbo,"-29,97","-71,35"
Guayacán,Cabotaje desembarcado,2016,Granel líquido,368.234,Coquimbo,"-29,97","-71,35"
Isla Juan Fernández,Cabotaje embarcado,2016,Carga general,917,Valparaíso,"-33,64","-78,82"
Isla Juan Fernández,Cabotaje embarcado,2016,Granel sólido,,Valparaíso,"-33,64","-78,82"
Isla Juan Fernández,Cabotaje embarcado,2016,Granel líquido,,Valparaíso,"-33,64","-78,82"
Isla Juan Fernández,Cabotaje desembarcado,2016,Carga general,7.700,Valparaíso,"-33,64","-78,82"
Isla Juan Fernández,Cabotaje desembarcado,2016,Granel sólido,,Valparaíso,"-33,64","-78,82"
Isla Juan Fernández,Cabotaje desembarcado,2016,Granel líquido,,Valparaíso,"-33,64","-78,82"
Isla de Pascua,Cabotaje embarcado,2016,Carga general,1.388,Valparaíso,"-27,15","-109,44"
Isla de Pascua,Cabotaje embarcado,2016,Granel sólido,,Valparaíso,"-27,15","-109,44"
Isla de Pascua,Cabotaje embarcado,2016,Granel líquido,,Valparaíso,"-27,15","-109,44"
Isla de Pascua,Cabotaje desembarcado,2016,Carga general,15.657,Valparaíso,"-27,15","-109,44"
Isla de Pascua,Cabotaje desembarcado,2016,Granel sólido,,Valparaíso,"-27,15","-109,44"
Isla de Pascua,Cabotaje desembarcado,2016,Granel líquido,16.906,Valparaíso,"-27,15","-109,44"
Ventanas,Cabotaje embarcado,2016,Carga general,,Valparaíso,"-32,75","-71,49"
Ventanas,Cabotaje embarcado,2016,Granel sólido,43.404,Valparaíso,"-32,75","-71,49"
Ventanas,Cabotaje embarcado,2016,Granel líquido,431.308,Valparaíso,"-32,75","-71,49"
Ventanas,Cabotaje desembarcado,2016,Carga general,,Valparaíso,"-32,75","-71,49"
Ventanas,Cabotaje desembarcado,2016,Granel sólido,86.505,Valparaíso,"-32,75","-71,49"
Ventanas,Cabotaje desembarcado,2016,Granel líquido,,Valparaíso,"-32,75","-71,49"
